"","cluster","species_name","cpue"
"1","A","herring",0.109756097560976
"2","A","silverside",1.3780487804878
"3","A","tomcod",0.0731707317073171
"4","A","g.crab",1.85365853658537
"5","A","mummi.",3.70731707317073
"6","A","pipefish",0
"7","A","r.herring",3.3780487804878
"8","A","sandlance",0.182926829268293
"9","A","flounder",0.451219512195122
"10","B","herring",311.74649963154
"11","B","silverside",34.3835666912307
"12","B","tomcod",0.812208302628347
"13","B","g.crab",6.25669368705478
"14","B","mummi.",15.0564971751412
"15","B","pipefish",0.0580938344387128
"16","B","r.herring",17.1874232375338
"17","B","sandlance",12.5845001228199
"18","B","flounder",1.20216163104888
"19","C","herring",27.1232102698498
"20","C","silverside",116.706655684019
"21","C","tomcod",0.249116072766631
"22","C","g.crab",6.55366412922903
"23","C","mummi.",22.0872524356592
"24","C","pipefish",0.145025769623879
"25","C","r.herring",16.0903014635974
"26","C","sandlance",5.34811130020284
"27","C","flounder",2.19738084705492
