"cluster","species_name","cpue"
"herring","alewife",17.1874232375338
"herring","herring",311.74649963154
"herring","silverside",34.3835666912307
"herring","tomcod",0.812208302628347
"herring","bluefish",0.198108572832228
"herring","g.crab",6.25669368705478
"herring","mummi.",15.0564971751412
"herring","pipefish",0.0580938344387128
"herring","sandlance",12.5845001228199
"herring","flounder",1.20216163104888
"silverside","alewife",15.5393755960966
"silverside","herring",27.0059159429858
"silverside","silverside",117.222184139187
"silverside","tomcod",0.247809684878503
"silverside","bluefish",0.0962936822753492
"silverside","g.crab",6.68006749782655
"silverside","mummi.",22.0642981956657
"silverside","pipefish",0.146748566883905
"silverside","sandlance",5.30792928728335
"silverside","flounder",2.18268327379936
