"cluster","species_name","cpue"
"herring","alewife",1.82411523478717
"herring","herring",229.939551793005
"herring","silverside",7.48540604565672
"herring","tomcod",0.727029125094447
"herring","bluefish",0.0124505928853755
"herring","g.crab",7.335062165835
"herring","mummi.",4.6219030328246
"herring","pipefish",0.176657170234245
"herring","sandlance",2.71194554238033
"herring","flounder",2.4035333572883
"sandlance","alewife",4.58048982122209
"sandlance","herring",4.627096066913
"sandlance","silverside",6.32523461367855
"sandlance","tomcod",0.257635634981173
"sandlance","bluefish",0
"sandlance","g.crab",3.71273733047188
"sandlance","mummi.",8.7702753725637
"sandlance","pipefish",0.0802392454566368
"sandlance","sandlance",21.9747443377878
"sandlance","flounder",1.53814020118368
"silverside","alewife",25.7642848184424
"silverside","herring",3.94030050565377
"silverside","silverside",282.557749035385
"silverside","tomcod",0.0387613473483039
"silverside","bluefish",0.304345998204694
"silverside","g.crab",7.92598465845748
"silverside","mummi.",47.159429130652
"silverside","pipefish",0.0970525398514529
"silverside","sandlance",1.15895043362435
"silverside","flounder",1.78866878592422
