"species_name","length_mm","date","week","year","period","Group"
"Herring",44,16248,26,2014,"Cooler than CRP","1"
"Herring",44,16248,26,2014,"Cooler than CRP","1"
"Herring",45,16248,26,2014,"Cooler than CRP","1"
"Herring",45,16248,26,2014,"Cooler than CRP","1"
"Herring",46,16248,26,2014,"Cooler than CRP","1"
"Herring",46,16248,26,2014,"Cooler than CRP","1"
"Herring",46,16248,26,2014,"Cooler than CRP","1"
"Herring",46,16248,26,2014,"Cooler than CRP","1"
"Herring",47,16248,26,2014,"Cooler than CRP","1"
"Herring",47,16248,26,2014,"Cooler than CRP","1"
"Herring",47,16248,26,2014,"Cooler than CRP","1"
"Herring",48,16248,26,2014,"Cooler than CRP","1"
"Herring",48,16248,26,2014,"Cooler than CRP","1"
"Herring",48,16248,26,2014,"Cooler than CRP","1"
"Herring",48,16248,26,2014,"Cooler than CRP","1"
"Herring",48,16248,26,2014,"Cooler than CRP","1"
"Herring",48,16248,26,2014,"Cooler than CRP","1"
"Herring",49,16248,26,2014,"Cooler than CRP","1"
"Herring",49,16248,26,2014,"Cooler than CRP","1"
"Herring",49,16248,26,2014,"Cooler than CRP","1"
"Herring",49,16248,26,2014,"Cooler than CRP","1"
"Herring",51,16248,26,2014,"Cooler than CRP","1"
"Herring",51,16248,26,2014,"Cooler than CRP","1"
"Herring",52,16248,26,2014,"Cooler than CRP","1"
"Herring",52,16248,26,2014,"Cooler than CRP","1"
"Herring",52,16248,26,2014,"Cooler than CRP","1"
"Herring",54,16248,26,2014,"Cooler than CRP","1"
"Herring",54,16248,26,2014,"Cooler than CRP","1"
"Herring",54,16248,26,2014,"Cooler than CRP","1"
"Herring",54,16248,26,2014,"Cooler than CRP","1"
"Herring",54,16248,26,2014,"Cooler than CRP","1"
"Herring",55,16248,26,2014,"Cooler than CRP","1"
"Herring",55,16248,26,2014,"Cooler than CRP","1"
"Herring",55,16248,26,2014,"Cooler than CRP","1"
"Herring",56,16248,26,2014,"Cooler than CRP","1"
"Herring",56,16248,26,2014,"Cooler than CRP","1"
"Herring",56,16248,26,2014,"Cooler than CRP","1"
"Herring",56,16248,26,2014,"Cooler than CRP","1"
"Herring",56,16248,26,2014,"Cooler than CRP","1"
"Herring",56,16248,26,2014,"Cooler than CRP","1"
"Herring",56,16248,26,2014,"Cooler than CRP","1"
"Herring",56,16248,26,2014,"Cooler than CRP","1"
"Herring",56,16248,26,2014,"Cooler than CRP","1"
"Herring",56,16248,26,2014,"Cooler than CRP","1"
"Herring",56,16248,26,2014,"Cooler than CRP","1"
"Herring",57,16248,26,2014,"Cooler than CRP","1"
"Herring",57,16248,26,2014,"Cooler than CRP","1"
"Herring",57,16248,26,2014,"Cooler than CRP","1"
"Herring",57,16248,26,2014,"Cooler than CRP","1"
"Herring",57,16248,26,2014,"Cooler than CRP","1"
