"species_name","year","growth"
"Herring",2014,2.70733616640572
"Herring",2015,4.97656542932135
"Herring",2016,3.15898876404493
"Herring",2017,1.19064648829336
"Herring",2018,4.74434554772088
"Herring",2020,3.92468565009811
"Herring",2021,3.16776085400302
"Herring",2022,1.37845225855538
"Herring",2024,5.62561283613133
"Herring",2025,5.80352684144819
"Silverside",2014,3.75447017607836
"Silverside",2015,2.55230687984971
"Silverside",2016,5.40298280896251
"Silverside",2017,4.90825839860037
"Silverside",2018,2.92069631764904
"Silverside",2020,4.45674086452564
"Silverside",2021,5.22522127628121
"Silverside",2022,6.23050702100217
"Silverside",2023,4.86363226411111
"Silverside",2024,NA
"Silverside",2025,2.70661993781982
